"544","Ninety-Three","0xAFEB","0xB04A"
"545","Ninety-Four","0xAB29","0xAB73"
"546","Ninety-Five","0xAAC5","0xAB29"
"547","Ninety-Six","0xAB73","0xABBE"
"548","Ninety-Seven","0xA98B","0xA9F0"
"549","Ninety-Nine","0xABBE","0xAC00"
"600","Zero","0xAC00","0xAC88"
"601","Two","0x5B77","0x5D6B"
"602","Three","0xAC88","0xACD7"
"603","Four","0xA951","0xA98B"
"604","Five","0xACD7","0xAD1D"
"605","Six","0xBA68","0xBAB7"
"606","Seven","0xAD1D","0xADC4"
"607","Eight","0xB04A","0xB0AF"
"608","Nine","0xB0AF","0xB11A"
"609","Ten","0xADC4","0xAE6A"
"610","Eleven","0xAE6A","0xAEC5"
"611","Twelve","0xAEC5","0xAF1D"
"612","Twenty","0x606C","0x60AC"
"613","Twenty-One","0xB3A3","0xB403"
"614","Twenty-Three","0xB1ED","0xB22E"
"615","Twenty-Four","0xB16F","0xB1ED"
"616","Twenty-Five","0xB22E","0xB281"
"617","Twenty-Six","0xB11A","0xB16F"
"618","Twenty-Seven","0xB281","0xB2D9"
"619","Twenty-Eight","0xB4A8","0xB526"
"620","Twenty-Nine","0xB350","0xB3A3"
"621","Thirty","0xB463","0xB4A8"
"622","Thirty-One","0xB2D9","0xB350"
"623","Thirty-Two","0xB526","0xB585"
"624","Thirty-Three","0xB403","0xB463"
"625","Fifty","0x60AC","0x60DA"
"626","Fifty-One","0xB8D6","0xB93E"
"627","Fifty-Two","0xBAB7","0xBBC2"
"628","Fifty-Three","0xB85A","0xB882"
"629","Fifty-Four","0xB775","0xB7A1"
"630","Fifty-Five","0xB882","0xB8D6"
"631","Fifty-Six","0xB7A1","0xB7DD"
"632","Fifty-Seven","0xB585","0xB5CE"
"633","Fifty-Nine","0xB7DD","0xB85A"
"634","Sixty","0xB93E","0xB996"
"635","Sixty-Two","0xB619","0xB66C"
"636","Sixty-Three","0xB6B5","0xB775"
"637","Sixty-Four","0xB66C","0xB6B5"
"638","Sixty-Five","0xB5CE","0xB619"
"639","Eighty","0x60DA","0x6110"
"640","Eighty-One","0xBCA5","0xBD57"
"641","Eighty-Two","0xBD7E","0xBDC0"
"642","Eighty-Four","0xC036","0xC08C"
"643","Eighty-Five","0xBBC2","0xBC07"
"644","Eighty-Eight","0xBC07","0xBC74"
"645","Eighty-Nine","0xBDFC","0xBE47"
"646","Ninety","0xBDC0","0xBDFC"
"647","Ninety-One","0xBE47","0xBE97"
"648","Ninety-Two","0xC08C","0xC0F6"
"649","Ninety-Three","0xBF2D","0xBF8C"
"650","Ninety-Four","0xBE97","0xBEDE"
"651","Ninety-Five","0xBEDE","0xBF2D"
"652","Ninety-Six","0xBF8C","0xBFDB"
"653","Ninety-Seven","0xBFDB","0xC036"
"654","Ninety-Nine","0xC0F6","0xC19B"
"700","Two","0xBC74","0xBCA5"
"701","Twenty","0x6110","0x6144"
"702","Twenty-One","0xC19B","0xC1E2"
"703","Thirty","0x6144","0x6170"
"704","Thirty-One","0xC4F2","0xC55F"
"705","Thirty-Two","0xC449","0xC4F2"
"706","Thirty-Three","0xCA38","0xCAFF"
"707","Thirty-Five","0xC7B5","0xC813"
"708","Thirty-Six","0xC379","0xC3E6"
"709","Thirty-Seven","0xC632","0xC68B"
"710","Thirty-Eight","0xC813","0xC8BD"
"711","Thirty-Nine","0xC8BD","0xC966"
"712","Forty","0xC966","0xC9C5"
"713","Forty-One","0xC55F","0xC5D3"
"714","Forty-Two","0xC260","0xC2F7"
"715","Forty-Three","0xC9C5","0xCA38"
"716","Forty-Four","0xC2F7","0xC379"
"717","Forty-Five","0xC3E6","0xC449"
"718","Forty-Six","0xC748","0xC7B5"
"719","Forty-Seven","0xC68B","0xC6E8"
"720","Forty-Nine","0xC6E8","0xC748"
"721","Fifty","0xCAFF","0xCB77"
"722","Fifty-One","0xC1E2","0xC260"
"723","Fifty-Two","0xC5D3","0xC632"
"724","Seventy","0x6170","0x61A0"
"725","Seventy-One","0xCDD8","0xCE18"
"726","Seventy-Two","0xD229","0xD299"
"727","Seventy-Four","0xCE18","0xCE82"
"728","Seventy-Five","0xCF46","0xCFC3"
"729","Seventy-Seven","0xD299","0xD30D"
"730","Seventy-Eight","0xD30D","0xD374"
"731","Seventy-Nine","0xE10D","0xE198"
"732","Eighty","0xCE82","0xCF08"
"733","Eighty-One","0xCCD3","0xCD4C"
"734","Eighty-Two","0xCF08","0xCF46"
"735","Eighty-Three","0xCFC3","0xD026"
"736","Eighty-Four","0xCC7D","0xCCD3"
"737","Eighty-Five","0xE198","0xE220"
"738","Eighty-Seven","0xD026","0xD081"
"739","Eighty-Eight","0xD081","0xD117"
"740","Ninety","0xCB77","0xCBE6"
"741","Ninety-One","0xD468","0xD4E2"
"742","Ninety-Two","0xD117","0xD16D"
"743","Ninety-Three","0xCC33","0xCC7D"
"744","Ninety-Five","0xD16D","0xD1AF"
"745","Ninety-Six","0xD1AF","0xD1FA"
"746","Ninety-Seven","0xD1FA","0xD229"
"747","Ninety-Eight","0xCD4C","0xCDD8"
"748","Ninety-Nine","0xD374","0xD3E4"
"800","Zero","0xCBE6","0xCC33"
"801","One","0xD3E4","0xD447"
"802","Two","0xD447","0xD468"
"803","Twenty","0x61A0","0x61DA"
"804","Twenty-One","0xD565","0xD5DB"
"805","Twenty-Three","0xD6B7","0xD749"
"806","Twenty-Four","0xE277","0xE321"
"807","Twenty-Six","0xD4E2","0xD522"
"808","Twenty-Seven","0xD9C6","0xDA54"
"809","Twenty-Eight","0xE220","0xE277"
"810","Twenty-Nine","0xDA54","0xDAB9"
"811","Thirty","0xD642","0xD663"
"812","Thirty-One","0xD663","0xD6B7"
"813","Thirty-Two","0xDAB9","0xDB26"
"814","Thirty-Three","0xD7D1","0xD829"
"815","Thirty-Four","0xD829","0xD891"
"816","Thirty-Five","0x5AC9","0x5B77"
"817","Thirty-Six","0xDB26","0xDBE9"
"818","Thirty-Seven","0xDBE9","0xDC60"
"819","Thirty-Eight","0xD749","0xD786"
"820","Thirty-Nine","0xD786","0xD7D1"
"821","Forty","0xD891","0xD8EB"
"822","Forty-One","0xD8EB","0xD95A"
"823","Forty-Two","0xD95A","0xD9C6"
"824","Forty-Three","0xDC60","0xDCF6"
"825","Forty-Four","0xDCF6","0xDD5C"
"826","Forty-Five","0xD5DB","0xD642"
"827","Forty-Six","0xDD5C","0xDDF0"
"828","Forty-Seven","0xDDF0","0xDE89"
"829","Forty-Eight","0xDE89","0xDEEB"
"830","Forty-Nine","0xDEEB","0xDF56"
"831","Fifty","0xD522","0xD565"
"832","Fifty-One","0xDF56","0xDFA3"
"833","Seventy","0x61DA","0x6218"
"834","Seventy-One","0xDFCE","0xE04C"
"835","Seventy-Two","0xE04C","0xE0A9"
"836","Seventy-Four","0xE0A9","0xE10D"
"837","Seventy-Five","0xDFA3","0xDFCE"
"838","Seventy-Six","0xE321","0xE36B"
"839","Seventy-Seven","0xE36B","0xE49A"
"840","Eighty","0x6218","0x626C"
"841","Eighty-Two","0xE90C","0xE9A6"
"842","Eighty-Three","0xE9A6","0xEA02"
"843","Eighty-Four","0xE899","0xE90C"
"844","Eighty-Five","0xE85C","0xE899"
"845","Ninety","0x626C","0x62D2"
"846","Ninety-One","0xEA02","0xEA51"
"847","Ninety-Two","0xE49A","0xE52D"
"848","Ninety-Three","0xEAFD","0xEB8B"
"849","Ninety-Four","0xE80D","0xE85C"
"850","Ninety-Six","0xEBD3","0xEC50"
"851","Ninety-Seven","0xE66E","0xE6DD"
"852","Ninety-Eight","0xE52D","0xE57E"
"853","Ninety-Nine","0xE57E","0xE5F0"
"900","Zero","0xE6DD","0xE75A"
