"word_number","word_text","start_address","end_address","notes"
"608","Monday","0x706C","0x70D1",""
"609","Month","0x70D1","0x713C",""
"610","More than","0x6DE6","0x6E8C",""
"611","Move","0x6E8C","0x6EE7",""
"612","Much","0x6EE7","0x6F3F",""
"620","N","0x170E","0x174E",""
"621","Near","0x73C5","0x7425",""
"622","Negative","0x7D1D","0x7DB4",""
"623","Net","0x720F","0x7250",""
"624","New","0x7191","0x720F",""
"625","Next","0x7250","0x72A3",""
"626","Night","0x713C","0x7191",""
"9","Nine","0x08A3","0x08FB",""
"19","Nineteen","0x0D54","0x0DEE",""
"90","Ninety","0x10AB","0x1114",""
"627","No","0x72A3","0x72FB",""
"628","Normal","0x74CA","0x7548",""
"629","North","0x7372","0x73C5",""
"630","Not","0x7485","0x74CA",""
"631","November","0x72FB","0x7372",""
"632","Now","0x7548","0x75A7",""
"633","Number","0x7425","0x7485",""
"650","O","0x174E","0x177C",""
"651","O'clock","0x78F8","0x7960",""
"652","October","0x7DB4","0x7E2E",""
"653","Of","0x787C","0x78A4",""
"654","Off","0x7797","0x77C3",""
"655","Ohms","0x78A4","0x78F8",""
"656","On","0x77C3","0x77FF",""
"1","One","0x068F","0x06D2",""
"657","Open","0x75A7","0x75F0",""
"658","Operation","0x7E2E","0x7EBF",""
"659","Operator","0x77FF","0x787C",""
"660","Or","0x7960","0x79B8",""
"661","Organization","0x7EBF","0x7F91",""
"662","Oscar","0x763B","0x768E",""
"663","Other","0x76D7","0x7797",""
"664","Out","0x768E","0x76D7",""
"665","Over","0x75F0","0x763B",""
"666","Overcast","0x7F91","0x805C",""
"680","P","0x177C","0x17B2",""
"681","P.M","0x813F","0x81F1",""
"682","Papa","0x8218","0x825A",""
"683","Pass","0x8EF2","0x8F3F",""
"684","Patch","0x8481","0x84D7",""
"960","Pause 1","0x81F1","0x81FA",""
"961","Pause 2","0x81FA","0x8203",""
"962","Pause 3","0x8203","0x820D",""
"963","Pause 4","0x820D","0x8218",""
"685","Per","0x805C","0x80A1",""
"969","Phaser","0xBFD0","0xBFF0",""
"686","Phone","0x8F3F","0x8FA7",""
"687","Pico","0x90A9","0x90FF",""
"688","Plan","0x80A1","0x810E",""
"689","Please","0x8296","0x82E1",""
"690","Plus","0x825A","0x8296",""
"691","Point","0x82E1","0x8331",""
"692","Police","0x84D7","0x8541",""
"693","Position","0x83C7","0x8426",""
"694","Pound","0x8331","0x8378",""
"695","Power","0x8378","0x83C7",""
"696","Practice","0x8FA7","0x8FFF",""
"697","Preset","0x8426","0x8481",""
"698","Press","0x8FFF","0x9041",""
"699","Program","0x8541","0x85E6",""
"700","Pull","0x9041","0x907A",""
"701","Push","0x907A","0x90A9",""
"702","Put","0x810E","0x813F",""
"720","Q","0x17B2","0x17E6",""
"721","Quebec","0x85E6","0x862D",""
"730","R","0x17E6","0x1812",""
"731","Radio","0x893D","0x89AA",""
"732","Radios","0x8894","0x893D",""
"733","Rain","0x8E83","0x8EF2",""
"734","Raise","0x91BD","0x9250",""
"735","Range","0x8C00","0x8C5E",""
"736","Rate","0x87C4","0x8831",""
"737","Ready","0x8A7D","0x8AD6",""
"738","Receive","0x8C5E","0x8D08",""
"739","Receiver","0x8D08","0x8DB1",""
"740","Red","0x8DB1","0x8E10",""
"741","Release","0x89AA","0x8A1E",""
"742","Remark","0x86AB","0x8742",""
"743","Remote","0x8E10","0x8E83",""
"744","Repair","0x8742","0x87C4",""
"745","Repeat","0x8831","0x8894",""
"746","Repeater","0x8B93","0x8C00",""
"747","Reset","0x8AD6","0x8B33",""
"748","Rig","0x931C","0x9394",""
"749","Right","0x8B33","0x8B93",""
"750","Road","0x9250","0x92C8",""
"751","Roger","0x862D","0x86AB",""
"752","Romeo","0x8A1E","0x8A7D",""
"753","Route","0x92C8","0x931C",""
"770","S","0x1812","0x1842",""
"771","Safe","0x95F5","0x9635",""
"772","Saturday","0x9A46","0x9AB6",""
"773","Scattered","0xA92A","0xA9AA",""
"774","Seconds","0x9635","0x969F",""
"775","Security","0x9763","0x97E0",""
"776","Select","0xA9AA","0xAA10",""
"777","Send","0x9AB6","0x9B2A",""
"778","Sent","0x9B2A","0x9B91",""
"779","September","0xAA10","0xAA9B",""
"780","Sequence","0x969F","0x9725",""
"781","Service","0x94F0","0x9569",""
"782","Set","0x9725","0x9763",""
"7","Seven","0x0826","0x0870",""
"17","Seventeen","0x0C40","0x0CE4",""
"70","Seventy","0x0FD6","0x1059",""
"783","Severe","0x97E0","0x9843",""
"784","Short","0x949A","0x94F0",""
"785","Showers","0xAA9B","0xAB23",""
"786","Shut","0xABE6","0xAC1D",""
"787","Side","0x9843","0x989E",""
"788","Sierra","0x989E","0x9934",""
"6","Six","0x07F4","0x0826",""
"16","Sixteen","0x0BB3","0x0C40",""
"60","Sixty","0x0F6A","0x0FD6",""
"789","Sleet","0xAB23","0xAB89",""
"790","Slow","0x9394","0x9403",""
"791","Snow","0x9C85","0x9CFF",""
"792","South","0x9934","0x998A",""
"793","Speed","0x9450","0x949A",""
"794","Squawk","0xAB89","0xABE6",""
"795","Star","0x998A","0x99CC",""
"796","Start","0x99CC","0x9A17",""
"797","Stop","0x9A17","0x9A46",""
"798","Storm","0x9569","0x95F5",""
"799","Sunday","0x9B91","0x9C01",""
"800","Switch","0x9403","0x9450",""
"801","System","0x9C01","0x9C64",""
"820","T","0x1842","0x187C",""
"821","Tango","0x9D82","0x9DF8",""
"822","Target","0xAD5D","0xADB7",""
"823","Telephone","0x9ED4","0x9F66",""
"824","Temperature","0xADB7","0xAE61",""
"10","Ten","0x08FB","0x0931",""
"825","Terminal","0xAC86","0xAD06",""
"826","Test","0x9CFF","0x9D3F",""
"827","Than","0xA1E3","0xA271",""
"828","Thank-You","0xAD06","0xAD5D",""
"829","That","0xA271","0xA2D6",""
"831","The(longE)","0x9E80","0x9ED4",""
"830","The(shortE)","0x9E5F","0x9E80",""
"832","Then","0xA2D6","0xA343",""
"13","Thirteen","0x0A05","0x0A8E",""
"30","Thirty","0x0E3A","0x0E92",""
"833","This","0x9FEE","0xA046",""
"834","This-is","0xA046","0xA0AE",""
"835","Thousand","0x116B","0x1219",""
"3","Three","0x0709","0x0755",""
"836","Thunderstorms","0xA343","0xA406",""
"837","Thursday","0xA406","0xA47D",""
"970","Tic","0xC073","0xC083",""
"838","Time","0x9F66","0x9FA3",""
"839","Timer","0x9FA3","0x9FEE",""
"971","Toc","0xC083","0xC093",""
"840","Today","0xA0AE","0xA108",""
"841","Tomorrow","0xA108","0xA177",""
"842","Tonight","0xA177","0xA1E3",""
"843","Tornado","0xA47D","0xA513",""
"844","Tower","0xA513","0xA579",""
"845","Traffic","0x9DF8","0x9E5F",""
"846","Transmit","0xA579","0xA60D",""
"847","Transmitter","0xA60D","0xA6A6",""
"848","Try","0xA6A6","0xA708",""
"849","Tuesday","0xA708","0xA773",""
"850","Turn","0x9D3F","0x9D82",""
"12","Twelve","0x09BC","0x0A05",""
"20","Twenty","0x0DEE","0x0E3A",""
"2","Two","0x06D2","0x0709",""
"851","Type","0xA773","0xA7C0",""
"870","U","0x187C","0x18BA",""
"871","Uniform","0xA7EB","0xA869",""
"872","Unit","0xA869","0xA8C6",""
"873","Unlimited","0xAF26","0xAFDA",""
"874","Until","0xA8C6","0xA92A",""
"875","Up","0xA7C0","0xA7EB",""
"876","Use(noun)","0xAE61","0xAEAB",""
"877","Use(verb)","0xAEAB","0xAF26",""
"880","V","0x18BA","0x190E",""
"881","Variable","0xBEF9","0xBF98",""
"882","Verify","0xB44C","0xB4E6",""
"883","Version","0xB4E6","0xB542",""
"884","Victor","0xB3D9","0xB44C",""
"885","Volts","0xB39C","0xB3D9",""
"890","W","0x190E","0x1974",""
"891","Wait","0xB542","0xB591",""
"892","Warning","0xAFDA","0xB06D",""
"893","Watch","0xB63D","0xB6CB",""
"894","Watts","0xB34D","0xB39C",""
"895","Way","0xBC70","0xBCB1",""
"896","Weather","0xB713","0xB790",""
"897","Wednesday","0xB1AE","0xB21D",""
"898","Week","0xB06D","0xB0BE",""
"899","Weekday","0xB0BE","0xB130",""
"900","Welcome","0xB21D","0xB29A",""
"901","Well Done","0xBDA9","0xBE59",""
"902","West","0xB591","0xB5E4",""
"903","What","0xB6CB","0xB713",""
"904","Whiskey","0xB5E4","0xB63D",""
"905","Will","0xB29A","0xB2FA",""
"906","Wind","0xB130","0xB1AE",""
"907","Windows","0xBCB1","0xBD49",""
"908","With","0xB2FA","0xB34D",""
"909","Wrong","0xBD49","0xBDA9",""
"920","X","0x1974","0x19AD",""
"921","X-Ray","0xB790","0xB804",""
"930","Y","0x19AD","0x19EF",""
"931","Yankee","0xB804","0xB867",""
"932","Year","0xB867","0xB8E5",""
"933","Yellow","0xB8E5","0xB936",""
"934","Yes","0xB936","0xB9A0",""
"935","Yesterday","0xB9A0","0xBA36",""
"936","You","0xBA36","0xBA7C",""
"937","Your","0xBA7C","0xBAE1",""
"950","Z","0x19EF","0x1A2B",""
"951","Zed","0xBBAD","0xBC0E",""
"0","Zero","0x0642","0x068F",""
"952","Zero","0x0642","0x068F",""
"953","Zone","0xBB2A","0xBBAD",""
"954","Zulu","0xBAE1","0xBB2A",""
"299","Comm","0x3874","0x38EC","undocumented"
"377","File","0x4E17","0x4E7D","undocumented"
"393","Fall","0x4E7D","0x4EBD","undocumented"
"457","Heat","0x5BE0","0x5C1F","undocumented"
"486","Index","0x5DAB","0x5E1A","undocumented"
"703","Percent","0x90FF","0x9151","undocumented"
"704","Pressure","0x9151","0x91BD","undocumented"
"852","Today's","0xAC1D","0xAC86","undocumented"
"910","Windchill","0xBE59","0xBEF9","undocumented"
